Registration Date,fips,County,state,PHEV,"County, State",Y_hat 0,Perc Error 0
2017-03-01,8039,Elbert County,CO,2.0,"Elbert County, CO",1.2282463092463092,38.58768453768454
2017-03-01,8045,Garfield County,CO,3.0,"Garfield County, CO",5.164460426011896,-72.14868086706319
2017-03-01,8059,Jefferson County,CO,52.0,"Jefferson County, CO",110.50214285714286,-112.50412087912088
2017-03-01,8069,Larimer County,CO,25.0,"Larimer County, CO",30.375297286047285,-21.50118914418914
2017-03-01,8077,Mesa County,CO,4.0,"Mesa County, CO",4.296075036075035,-7.401875901875865
2017-03-01,8097,Pitkin County,CO,2.0,"Pitkin County, CO",2.2223797021262195,-11.118985106310975
2017-03-01,8101,Pueblo County,CO,7.0,"Pueblo County, CO",5.215769912277263,25.489001253181954
2017-03-01,8113,San Miguel County,CO,1.0,"San Miguel County, CO",0.26200360750360746,73.79963924963926
2017-03-01,8117,Summit County,CO,2.0,"Summit County, CO",1.0146635929430043,49.266820352849784
2017-03-01,8119,Teller County,CO,2.0,"Teller County, CO",1.90515034965035,4.742482517482505
2017-03-01,8123,Weld County,CO,5.0,"Weld County, CO",17.19468217893218,-243.89364357864358
2017-04-01,8001,Adams County,CO,14.0,"Adams County, CO",22.485903346653348,-60.6135953332382
2017-04-01,8005,Arapahoe County,CO,42.0,"Arapahoe County, CO",125.61066666666666,-199.07301587301583
2017-04-01,8013,Boulder County,CO,50.0,"Boulder County, CO",58.289157897657894,-16.57831579531579
2017-04-01,8014,Broomfield County,CO,7.0,"Broomfield County, CO",17.605000000000004,-151.50000000000006
2017-04-01,8031,Denver County,CO,47.0,"Denver County, CO",141.74480952380952,-201.58470111448835
2017-04-01,8035,Douglas County,CO,27.0,"Douglas County, CO",38.6319800101859,-43.08140744513296
2017-04-01,8037,Eagle County,CO,4.0,"Eagle County, CO",3.3585205433541345,16.036986416146636
2017-04-01,8041,El Paso County,CO,41.0,"El Paso County, CO",44.71039097014097,-9.049734073514562
2017-04-01,8045,Garfield County,CO,1.0,"Garfield County, CO",5.164460426011896,-416.4460426011896
2017-04-01,8051,Gunnison County,CO,1.0,"Gunnison County, CO",0.6804717716923598,31.952822830764017
2017-04-01,8059,Jefferson County,CO,40.0,"Jefferson County, CO",106.74466666666662,-166.86166666666657
2017-04-01,8067,La Plata County,CO,3.0,"La Plata County, CO",1.6690563442405546,44.36478852531485
2017-04-01,8069,Larimer County,CO,25.0,"Larimer County, CO",30.375297286047285,-21.50118914418914
2017-04-01,8077,Mesa County,CO,2.0,"Mesa County, CO",4.296075036075035,-114.80375180375174
2017-04-01,8087,Morgan County,CO,1.0,"Morgan County, CO",1.140437423687424,-14.043742368742397
2017-04-01,8097,Pitkin County,CO,2.0,"Pitkin County, CO",2.2223797021262195,-11.118985106310975
2017-04-01,8101,Pueblo County,CO,1.0,"Pueblo County, CO",5.215769912277263,-421.57699122772635
2017-04-01,8117,Summit County,CO,2.0,"Summit County, CO",1.0146635929430043,49.266820352849784
2017-04-01,8123,Weld County,CO,11.0,"Weld County, CO",17.19468217893218,-56.31529253574708
2017-05-01,8001,Adams County,CO,27.0,"Adams County, CO",22.485903346653348,16.71887649387649
2017-05-01,8005,Arapahoe County,CO,54.0,"Arapahoe County, CO",73.25215476190476,-35.65213844797178
2017-05-01,8013,Boulder County,CO,58.0,"Boulder County, CO",58.289157897657894,-0.49854809941016226
2017-05-01,8014,Broomfield County,CO,8.0,"Broomfield County, CO",19.815,-147.68750000000003
2017-05-01,8029,Delta County,CO,1.0,"Delta County, CO",1.4802872691034452,-48.028726910344524
2017-05-01,8031,Denver County,CO,56.0,"Denver County, CO",84.77249999999998,-51.37946428571425
2017-05-01,8035,Douglas County,CO,33.0,"Douglas County, CO",38.6319800101859,-17.06660609147242
2017-05-01,8037,Eagle County,CO,2.0,"Eagle County, CO",3.3585205433541345,-67.92602716770672
2017-05-01,8041,El Paso County,CO,35.0,"El Paso County, CO",44.71039097014097,-27.74397420040277
2017-05-01,8039,Elbert County,CO,2.0,"Elbert County, CO",1.2282463092463092,38.58768453768454
2017-05-01,8045,Garfield County,CO,8.0,"Garfield County, CO",5.164460426011896,35.4442446748513
2017-05-01,8059,Jefferson County,CO,63.0,"Jefferson County, CO",99.01100000000001,-57.16031746031748
2017-05-01,8067,La Plata County,CO,2.0,"La Plata County, CO",1.6690563442405546,16.547182787972268
2017-05-01,8069,Larimer County,CO,24.0,"Larimer County, CO",30.375297286047285,-26.563738691863687
2017-05-01,8077,Mesa County,CO,2.0,"Mesa County, CO",4.296075036075035,-114.80375180375174
2017-05-01,8093,Park County,CO,1.0,"Park County, CO",1.1289035195970178,-12.890351959701785
2017-05-01,8097,Pitkin County,CO,2.0,"Pitkin County, CO",2.2223797021262195,-11.118985106310975
2017-05-01,8101,Pueblo County,CO,3.0,"Pueblo County, CO",5.215769912277263,-73.85899707590879
2017-05-01,8107,Routt County,CO,1.0,"Routt County, CO",1.2569300144300142,-25.693001443001418
2017-05-01,8119,Teller County,CO,1.0,"Teller County, CO",1.90515034965035,-90.51503496503499
2017-05-01,8123,Weld County,CO,12.0,"Weld County, CO",17.19468217893218,-43.28901815776816
2017-06-01,8001,Adams County,CO,28.0,"Adams County, CO",22.485903346653348,19.6932023333809
2017-06-01,8005,Arapahoe County,CO,62.0,"Arapahoe County, CO",174.72689285714284,-181.81756912442395
2017-06-01,8013,Boulder County,CO,67.0,"Boulder County, CO",58.289157897657894,13.001256869167321
2017-06-01,8014,Broomfield County,CO,10.0,"Broomfield County, CO",16.214000000000002,-62.140000000000015
2017-06-01,8031,Denver County,CO,69.0,"Denver County, CO",142.6927142857143,-106.80103519668738
2017-06-01,8035,Douglas County,CO,39.0,"Douglas County, CO",38.6319800101859,0.9436409995233365
2017-06-01,8037,Eagle County,CO,2.0,"Eagle County, CO",3.3585205433541345,-67.92602716770672
2017-06-01,8041,El Paso County,CO,37.0,"El Paso County, CO",44.71039097014097,-20.838894513894516
2017-06-01,8039,Elbert County,CO,3.0,"Elbert County, CO",1.2282463092463092,59.058456358456354
2017-06-01,8045,Garfield County,CO,11.0,"Garfield County, CO",5.164460426011896,53.05035976352822
2017-06-01,8059,Jefferson County,CO,56.0,"Jefferson County, CO",110.46416666666669,-97.25744047619051
2017-06-01,8067,La Plata County,CO,1.0,"La Plata County, CO",1.6690563442405546,-66.90563442405546
2017-06-01,8069,Larimer County,CO,37.0,"Larimer County, CO",30.375297286047285,17.90460192960193
2017-06-01,8075,Logan County,CO,2.0,"Logan County, CO",1.0033333333333332,49.83333333333334
2017-06-01,8077,Mesa County,CO,5.0,"Mesa County, CO",4.296075036075035,14.078499278499306
2017-06-01,8097,Pitkin County,CO,4.0,"Pitkin County, CO",2.2223797021262195,44.440507446844514
2017-06-01,8101,Pueblo County,CO,10.0,"Pueblo County, CO",5.215769912277263,47.842300877227366
2017-06-01,8107,Routt County,CO,1.0,"Routt County, CO",1.2569300144300142,-25.693001443001418
2017-06-01,8113,San Miguel County,CO,1.0,"San Miguel County, CO",0.26200360750360746,73.79963924963926
2017-06-01,8119,Teller County,CO,3.0,"Teller County, CO",1.90515034965035,36.494988344988336
2017-06-01,8123,Weld County,CO,19.0,"Weld County, CO",17.19468217893218,9.501672742462212
2017-07-01,8001,Adams County,CO,23.0,"Adams County, CO",22.485903346653348,2.2352028406376165
2017-07-01,8005,Arapahoe County,CO,33.0,"Arapahoe County, CO",74.71466666666664,-126.40808080808074
2017-07-01,8013,Boulder County,CO,62.0,"Boulder County, CO",58.289157897657894,5.985229197325977
2017-07-01,8014,Broomfield County,CO,8.0,"Broomfield County, CO",13.592880952380956,-69.91101190476195
2017-07-01,8031,Denver County,CO,53.0,"Denver County, CO",85.31333333333333,-60.96855345911949
2017-07-01,8035,Douglas County,CO,28.0,"Douglas County, CO",38.6319800101859,-37.971357179235355
2017-07-01,8037,Eagle County,CO,4.0,"Eagle County, CO",3.3585205433541345,16.036986416146636
2017-07-01,8041,El Paso County,CO,41.0,"El Paso County, CO",44.71039097014097,-9.049734073514562
2017-07-01,8045,Garfield County,CO,3.0,"Garfield County, CO",5.164460426011896,-72.14868086706319
2017-07-01,8059,Jefferson County,CO,51.0,"Jefferson County, CO",76.44511111111109,-49.8923747276688
2017-07-01,8069,Larimer County,CO,25.0,"Larimer County, CO",30.375297286047285,-21.50118914418914
2017-07-01,8075,Logan County,CO,2.0,"Logan County, CO",1.0033333333333332,49.83333333333334
2017-07-01,8077,Mesa County,CO,6.0,"Mesa County, CO",4.296075036075035,28.398749398749423
2017-07-01,8097,Pitkin County,CO,1.0,"Pitkin County, CO",2.2223797021262195,-122.23797021262195
2017-07-01,8101,Pueblo County,CO,5.0,"Pueblo County, CO",5.215769912277263,-4.315398245545268
2017-07-01,8107,Routt County,CO,1.0,"Routt County, CO",1.2569300144300142,-25.693001443001418
2017-07-01,8123,Weld County,CO,16.0,"Weld County, CO",17.19468217893218,-7.466763618326122
2017-08-01,8001,Adams County,CO,28.0,"Adams County, CO",22.485903346653348,19.6932023333809
2017-08-01,8005,Arapahoe County,CO,50.0,"Arapahoe County, CO",43.27105952380953,13.457880952380947
2017-08-01,8013,Boulder County,CO,61.0,"Boulder County, CO",58.289157897657894,4.444003446462469
2017-08-01,8014,Broomfield County,CO,7.0,"Broomfield County, CO",13.08054761904762,-86.86496598639457
2017-08-01,8015,Chaffee County,CO,2.0,"Chaffee County, CO",0.9966666666666666,50.16666666666667
2017-08-01,8029,Delta County,CO,2.0,"Delta County, CO",1.4802872691034452,25.985636544827738
2017-08-01,8031,Denver County,CO,72.0,"Denver County, CO",50.851499999999994,29.372916666666676
2017-08-01,8035,Douglas County,CO,37.0,"Douglas County, CO",38.6319800101859,-4.410756784286213
2017-08-01,8037,Eagle County,CO,4.0,"Eagle County, CO",3.3585205433541345,16.036986416146636
2017-08-01,8041,El Paso County,CO,60.0,"El Paso County, CO",44.71039097014097,25.482681716431717
2017-08-01,8039,Elbert County,CO,2.0,"Elbert County, CO",1.2282463092463092,38.58768453768454
2017-08-01,8043,Fremont County,CO,4.0,"Fremont County, CO",3.373194444444445,15.670138888888873
2017-08-01,8045,Garfield County,CO,6.0,"Garfield County, CO",5.164460426011896,13.925659566468399
2017-08-01,8059,Jefferson County,CO,62.0,"Jefferson County, CO",52.76740476190476,14.891282642089102
2017-08-01,8067,La Plata County,CO,2.0,"La Plata County, CO",1.6690563442405546,16.547182787972268
2017-08-01,8069,Larimer County,CO,41.0,"Larimer County, CO",30.375297286047285,25.913909058421257
2017-08-01,8077,Mesa County,CO,4.0,"Mesa County, CO",4.296075036075035,-7.401875901875865
2017-08-01,8093,Park County,CO,1.0,"Park County, CO",1.1289035195970178,-12.890351959701785
2017-08-01,8097,Pitkin County,CO,2.0,"Pitkin County, CO",2.2223797021262195,-11.118985106310975
2017-08-01,8101,Pueblo County,CO,4.0,"Pueblo County, CO",5.215769912277263,-30.394247806931585
2017-08-01,8107,Routt County,CO,1.0,"Routt County, CO",1.2569300144300142,-25.693001443001418
2017-08-01,8117,Summit County,CO,1.0,"Summit County, CO",1.0146635929430043,-1.4663592943004344
2017-08-01,8123,Weld County,CO,22.0,"Weld County, CO",17.19468217893218,21.84235373212646
2017-09-01,8001,Adams County,CO,33.0,"Adams County, CO",22.485903346653348,31.86089894953531
2017-09-01,8005,Arapahoe County,CO,57.0,"Arapahoe County, CO",62.73174999999999,-10.05570175438595
2017-09-01,8013,Boulder County,CO,56.0,"Boulder County, CO",58.289157897657894,-4.087781960103382
2017-09-01,8014,Broomfield County,CO,15.0,"Broomfield County, CO",13.425595238095235,10.496031746031763
2017-09-01,8029,Delta County,CO,2.0,"Delta County, CO",1.4802872691034452,25.985636544827738
2017-09-01,8031,Denver County,CO,64.0,"Denver County, CO",109.94571428571429,-71.79017857142857
2017-09-01,8035,Douglas County,CO,32.0,"Douglas County, CO",38.6319800101859,-20.724937531830932
2017-09-01,8037,Eagle County,CO,3.0,"Eagle County, CO",3.3585205433541345,-11.95068477847115
2017-09-01,8041,El Paso County,CO,42.0,"El Paso County, CO",44.71039097014097,-6.453311833668978
2017-09-01,8039,Elbert County,CO,5.0,"Elbert County, CO",1.2282463092463092,75.43507381507382
2017-09-01,8043,Fremont County,CO,5.0,"Fremont County, CO",3.373194444444445,32.5361111111111
2017-09-01,8045,Garfield County,CO,1.0,"Garfield County, CO",5.164460426011896,-416.4460426011896
2017-09-01,8059,Jefferson County,CO,57.0,"Jefferson County, CO",59.1825,-3.8289473684210487
2017-09-01,8067,La Plata County,CO,1.0,"La Plata County, CO",1.6690563442405546,-66.90563442405546
2017-09-01,8069,Larimer County,CO,41.0,"Larimer County, CO",30.375297286047285,25.913909058421257
2017-09-01,8075,Logan County,CO,1.0,"Logan County, CO",1.0033333333333332,-0.3333333333333188
2017-09-01,8077,Mesa County,CO,8.0,"Mesa County, CO",4.296075036075035,46.299062049062066
2017-09-01,8097,Pitkin County,CO,1.0,"Pitkin County, CO",2.2223797021262195,-122.23797021262195
2017-09-01,8101,Pueblo County,CO,5.0,"Pueblo County, CO",5.215769912277263,-4.315398245545268
2017-09-01,8117,Summit County,CO,2.0,"Summit County, CO",1.0146635929430043,49.266820352849784
2017-09-01,8123,Weld County,CO,20.0,"Weld County, CO",17.19468217893218,14.026589105339102
2017-10-01,8001,Adams County,CO,26.0,"Adams County, CO",22.485903346653348,13.515756359025582
2017-10-01,8005,Arapahoe County,CO,64.0,"Arapahoe County, CO",75.76317857142857,-18.379966517857138
2017-10-01,8013,Boulder County,CO,81.0,"Boulder County, CO",58.289157897657894,28.038076669558155
2017-10-01,8014,Broomfield County,CO,11.0,"Broomfield County, CO",12.071666666666665,-9.742424242424232
2017-10-01,8015,Chaffee County,CO,1.0,"Chaffee County, CO",0.9966666666666666,0.33333333333334103
2017-10-01,8031,Denver County,CO,66.0,"Denver County, CO",90.11500000000002,-36.537878787878824
2017-10-01,8035,Douglas County,CO,55.0,"Douglas County, CO",38.6319800101859,29.760036345116546
2017-10-01,8037,Eagle County,CO,5.0,"Eagle County, CO",3.3585205433541345,32.829589132917306
2017-10-01,8041,El Paso County,CO,57.0,"El Paso County, CO",44.71039097014097,21.56071759624391
2017-10-01,8045,Garfield County,CO,5.0,"Garfield County, CO",5.164460426011896,-3.2892085202379207
2017-10-01,8051,Gunnison County,CO,2.0,"Gunnison County, CO",0.6804717716923598,65.976411415382
2017-10-01,8059,Jefferson County,CO,85.0,"Jefferson County, CO",84.6675,0.39117647058823063
2017-10-01,8067,La Plata County,CO,3.0,"La Plata County, CO",1.6690563442405546,44.36478852531485
2017-10-01,8069,Larimer County,CO,33.0,"Larimer County, CO",30.375297286047285,7.953644587735499
2017-10-01,8077,Mesa County,CO,7.0,"Mesa County, CO",4.296075036075035,38.627499484642364
2017-10-01,8085,Montrose County,CO,2.0,"Montrose County, CO",2.395599206349206,-19.7799603174603
2017-10-01,8093,Park County,CO,1.0,"Park County, CO",1.1289035195970178,-12.890351959701785
2017-10-01,8097,Pitkin County,CO,3.0,"Pitkin County, CO",2.2223797021262195,25.920676595792685
2017-10-01,8101,Pueblo County,CO,10.0,"Pueblo County, CO",5.215769912277263,47.842300877227366
2017-10-01,8107,Routt County,CO,3.0,"Routt County, CO",1.2569300144300142,58.102332852332864
2017-10-01,8117,Summit County,CO,1.0,"Summit County, CO",1.0146635929430043,-1.4663592943004344
2017-10-01,8123,Weld County,CO,22.0,"Weld County, CO",17.19468217893218,21.84235373212646
2017-11-01,8001,Adams County,CO,31.0,"Adams County, CO",22.485903346653348,27.464827914021456
2017-11-01,8005,Arapahoe County,CO,50.0,"Arapahoe County, CO",124.65000000000002,-149.30000000000004
2017-11-01,8013,Boulder County,CO,52.0,"Boulder County, CO",58.289157897657894,-12.094534418572874
2017-11-01,8014,Broomfield County,CO,11.0,"Broomfield County, CO",45.885,-317.1363636363636
2017-11-01,8029,Delta County,CO,2.0,"Delta County, CO",1.4802872691034452,25.985636544827738
2017-11-01,8031,Denver County,CO,88.0,"Denver County, CO",130.83476190476188,-48.67586580086577
2017-11-01,8035,Douglas County,CO,51.0,"Douglas County, CO",38.6319800101859,24.251019587870786
2017-11-01,8037,Eagle County,CO,3.0,"Eagle County, CO",3.3585205433541345,-11.95068477847115
2017-11-01,8041,El Paso County,CO,74.0,"El Paso County, CO",44.71039097014097,39.58055274305274
2017-11-01,8039,Elbert County,CO,1.0,"Elbert County, CO",1.2282463092463092,-22.824630924630917
2017-11-01,8045,Garfield County,CO,3.0,"Garfield County, CO",5.164460426011896,-72.14868086706319
2017-11-01,8059,Jefferson County,CO,72.0,"Jefferson County, CO",169.605,-135.5625
2017-11-01,8067,La Plata County,CO,2.0,"La Plata County, CO",1.6690563442405546,16.547182787972268
2017-11-01,8069,Larimer County,CO,32.0,"Larimer County, CO",30.375297286047285,5.077195981102234
2017-11-01,8077,Mesa County,CO,4.0,"Mesa County, CO",4.296075036075035,-7.401875901875865
2017-11-01,8083,Montezuma County,CO,1.0,"Montezuma County, CO",0.9709938672438672,2.900613275613284
2017-11-01,8093,Park County,CO,2.0,"Park County, CO",1.1289035195970178,43.554824020149105
2017-11-01,8097,Pitkin County,CO,3.0,"Pitkin County, CO",2.2223797021262195,25.920676595792685
2017-11-01,8101,Pueblo County,CO,5.0,"Pueblo County, CO",5.215769912277263,-4.315398245545268
2017-11-01,8107,Routt County,CO,2.0,"Routt County, CO",1.2569300144300142,37.15349927849929
2017-11-01,8117,Summit County,CO,3.0,"Summit County, CO",1.0146635929430043,66.17788023523319
2017-11-01,8123,Weld County,CO,26.0,"Weld County, CO",17.19468217893218,33.866607004107
2017-12-01,8001,Adams County,CO,17.0,"Adams County, CO",22.485903346653348,-32.270019686196164
2017-12-01,8005,Arapahoe County,CO,59.0,"Arapahoe County, CO",105.98333333333333,-79.63276836158192
2017-12-01,8013,Boulder County,CO,78.0,"Boulder County, CO",58.289157897657894,25.270310387618082
2017-12-01,8014,Broomfield County,CO,17.0,"Broomfield County, CO",18.49069047619048,-8.768767507002822
2017-12-01,8015,Chaffee County,CO,1.0,"Chaffee County, CO",0.9966666666666666,0.33333333333334103
2017-12-01,8031,Denver County,CO,80.0,"Denver County, CO",96.29716666666667,-20.371458333333337
2017-12-01,8035,Douglas County,CO,54.0,"Douglas County, CO",38.6319800101859,28.45929627743352
