countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Lamb County, TX",48279,"Lamb County, TX",48279,Lamb County,TX,Lamb County,TX,1,0.0
"Lampasas County, TX",48281,"Lampasas County, TX",48281,Lampasas County,TX,Lampasas County,TX,1,0.0
"La Salle County, TX",48283,"La Salle County, TX",48283,La Salle County,TX,La Salle County,TX,1,0.0
"Lavaca County, TX",48285,"Lavaca County, TX",48285,Lavaca County,TX,Lavaca County,TX,1,0.0
"Lee County, TX",48287,"Lee County, TX",48287,Lee County,TX,Lee County,TX,1,0.0
"Leon County, TX",48289,"Leon County, TX",48289,Leon County,TX,Leon County,TX,1,0.0
"Liberty County, TX",48291,"Liberty County, TX",48291,Liberty County,TX,Liberty County,TX,1,0.0
"Limestone County, TX",48293,"Limestone County, TX",48293,Limestone County,TX,Limestone County,TX,1,0.0
"Lipscomb County, TX",48295,"Lipscomb County, TX",48295,Lipscomb County,TX,Lipscomb County,TX,1,0.0
"Live Oak County, TX",48297,"Live Oak County, TX",48297,Live Oak County,TX,Live Oak County,TX,1,0.0
"Llano County, TX",48299,"Llano County, TX",48299,Llano County,TX,Llano County,TX,1,0.0
"Loving County, TX",48301,"Loving County, TX",48301,Loving County,TX,Loving County,TX,1,0.0
"Lubbock County, TX",48303,"Lubbock County, TX",48303,Lubbock County,TX,Lubbock County,TX,1,0.0
"Lynn County, TX",48305,"Lynn County, TX",48305,Lynn County,TX,Lynn County,TX,1,0.0
"McCulloch County, TX",48307,"McCulloch County, TX",48307,McCulloch County,TX,McCulloch County,TX,1,0.0
"McLennan County, TX",48309,"McLennan County, TX",48309,McLennan County,TX,McLennan County,TX,1,0.0
"McMullen County, TX",48311,"McMullen County, TX",48311,McMullen County,TX,McMullen County,TX,1,0.0
"Madison County, TX",48313,"Madison County, TX",48313,Madison County,TX,Madison County,TX,1,0.0
"Marion County, TX",48315,"Marion County, TX",48315,Marion County,TX,Marion County,TX,1,0.0
"Martin County, TX",48317,"Martin County, TX",48317,Martin County,TX,Martin County,TX,1,0.0
"Mason County, TX",48319,"Mason County, TX",48319,Mason County,TX,Mason County,TX,1,0.0
"Matagorda County, TX",48321,"Matagorda County, TX",48321,Matagorda County,TX,Matagorda County,TX,1,0.0
"Maverick County, TX",48323,"Maverick County, TX",48323,Maverick County,TX,Maverick County,TX,1,0.0
"Medina County, TX",48325,"Medina County, TX",48325,Medina County,TX,Medina County,TX,1,0.0
"Menard County, TX",48327,"Menard County, TX",48327,Menard County,TX,Menard County,TX,1,0.0
"Midland County, TX",48329,"Midland County, TX",48329,Midland County,TX,Midland County,TX,1,0.0
"Milam County, TX",48331,"Milam County, TX",48331,Milam County,TX,Milam County,TX,1,0.0
"Mills County, TX",48333,"Mills County, TX",48333,Mills County,TX,Mills County,TX,1,0.0
"Mitchell County, TX",48335,"Mitchell County, TX",48335,Mitchell County,TX,Mitchell County,TX,1,0.0
"Montague County, TX",48337,"Montague County, TX",48337,Montague County,TX,Montague County,TX,1,0.0
"Montgomery County, TX",48339,"Montgomery County, TX",48339,Montgomery County,TX,Montgomery County,TX,1,0.0
"Moore County, TX",48341,"Moore County, TX",48341,Moore County,TX,Moore County,TX,1,0.0
"Morris County, TX",48343,"Morris County, TX",48343,Morris County,TX,Morris County,TX,1,0.0
"Motley County, TX",48345,"Motley County, TX",48345,Motley County,TX,Motley County,TX,1,0.0
"Nacogdoches County, TX",48347,"Nacogdoches County, TX",48347,Nacogdoches County,TX,Nacogdoches County,TX,1,0.0
"Navarro County, TX",48349,"Navarro County, TX",48349,Navarro County,TX,Navarro County,TX,1,0.0
"Newton County, TX",48351,"Newton County, TX",48351,Newton County,TX,Newton County,TX,1,0.0
"Nolan County, TX",48353,"Nolan County, TX",48353,Nolan County,TX,Nolan County,TX,1,0.0
"Nueces County, TX",48355,"Nueces County, TX",48355,Nueces County,TX,Nueces County,TX,1,0.0
"Ochiltree County, TX",48357,"Ochiltree County, TX",48357,Ochiltree County,TX,Ochiltree County,TX,1,0.0
"Oldham County, TX",48359,"Oldham County, TX",48359,Oldham County,TX,Oldham County,TX,1,0.0
"Orange County, TX",48361,"Orange County, TX",48361,Orange County,TX,Orange County,TX,1,0.0
"Palo Pinto County, TX",48363,"Palo Pinto County, TX",48363,Palo Pinto County,TX,Palo Pinto County,TX,1,0.0
"Panola County, TX",48365,"Panola County, TX",48365,Panola County,TX,Panola County,TX,1,0.0
"Parker County, TX",48367,"Parker County, TX",48367,Parker County,TX,Parker County,TX,1,0.0
"Parmer County, TX",48369,"Parmer County, TX",48369,Parmer County,TX,Parmer County,TX,1,0.0
"Pecos County, TX",48371,"Pecos County, TX",48371,Pecos County,TX,Pecos County,TX,1,0.0
"Polk County, TX",48373,"Polk County, TX",48373,Polk County,TX,Polk County,TX,1,0.0
"Potter County, TX",48375,"Potter County, TX",48375,Potter County,TX,Potter County,TX,1,0.0
"Presidio County, TX",48377,"Presidio County, TX",48377,Presidio County,TX,Presidio County,TX,1,0.0
"Rains County, TX",48379,"Rains County, TX",48379,Rains County,TX,Rains County,TX,1,0.0
"Randall County, TX",48381,"Randall County, TX",48381,Randall County,TX,Randall County,TX,1,0.0
"Reagan County, TX",48383,"Reagan County, TX",48383,Reagan County,TX,Reagan County,TX,1,0.0
"Real County, TX",48385,"Real County, TX",48385,Real County,TX,Real County,TX,1,0.0
"Red River County, TX",48387,"Red River County, TX",48387,Red River County,TX,Red River County,TX,1,0.0
"Reeves County, TX",48389,"Reeves County, TX",48389,Reeves County,TX,Reeves County,TX,1,0.0
"Refugio County, TX",48391,"Refugio County, TX",48391,Refugio County,TX,Refugio County,TX,1,0.0
"Roberts County, TX",48393,"Roberts County, TX",48393,Roberts County,TX,Roberts County,TX,1,0.0
"Robertson County, TX",48395,"Robertson County, TX",48395,Robertson County,TX,Robertson County,TX,1,0.0
"Rockwall County, TX",48397,"Rockwall County, TX",48397,Rockwall County,TX,Rockwall County,TX,1,0.0
"Runnels County, TX",48399,"Runnels County, TX",48399,Runnels County,TX,Runnels County,TX,1,0.0
"Rusk County, TX",48401,"Rusk County, TX",48401,Rusk County,TX,Rusk County,TX,1,0.0
"Sabine County, TX",48403,"Sabine County, TX",48403,Sabine County,TX,Sabine County,TX,1,0.0
"San Augustine County, TX",48405,"San Augustine County, TX",48405,San Augustine County,TX,San Augustine County,TX,1,0.0
"San Jacinto County, TX",48407,"San Jacinto County, TX",48407,San Jacinto County,TX,San Jacinto County,TX,1,0.0
"San Patricio County, TX",48409,"San Patricio County, TX",48409,San Patricio County,TX,San Patricio County,TX,1,0.0
"San Saba County, TX",48411,"San Saba County, TX",48411,San Saba County,TX,San Saba County,TX,1,0.0
"Schleicher County, TX",48413,"Schleicher County, TX",48413,Schleicher County,TX,Schleicher County,TX,1,0.0
"Scurry County, TX",48415,"Scurry County, TX",48415,Scurry County,TX,Scurry County,TX,1,0.0
"Shackelford County, TX",48417,"Shackelford County, TX",48417,Shackelford County,TX,Shackelford County,TX,1,0.0
"Shelby County, TX",48419,"Shelby County, TX",48419,Shelby County,TX,Shelby County,TX,1,0.0
"Sherman County, TX",48421,"Sherman County, TX",48421,Sherman County,TX,Sherman County,TX,1,0.0
"Smith County, TX",48423,"Smith County, TX",48423,Smith County,TX,Smith County,TX,1,0.0
"Somervell County, TX",48425,"Somervell County, TX",48425,Somervell County,TX,Somervell County,TX,1,0.0
"Starr County, TX",48427,"Starr County, TX",48427,Starr County,TX,Starr County,TX,1,0.0
"Stephens County, TX",48429,"Stephens County, TX",48429,Stephens County,TX,Stephens County,TX,1,0.0
"Sterling County, TX",48431,"Sterling County, TX",48431,Sterling County,TX,Sterling County,TX,1,0.0
"Stonewall County, TX",48433,"Stonewall County, TX",48433,Stonewall County,TX,Stonewall County,TX,1,0.0
"Sutton County, TX",48435,"Sutton County, TX",48435,Sutton County,TX,Sutton County,TX,1,0.0
"Swisher County, TX",48437,"Swisher County, TX",48437,Swisher County,TX,Swisher County,TX,1,0.0
"Tarrant County, TX",48439,"Tarrant County, TX",48439,Tarrant County,TX,Tarrant County,TX,1,0.0
"Taylor County, TX",48441,"Taylor County, TX",48441,Taylor County,TX,Taylor County,TX,1,0.0
"Terrell County, TX",48443,"Terrell County, TX",48443,Terrell County,TX,Terrell County,TX,1,0.0
"Terry County, TX",48445,"Terry County, TX",48445,Terry County,TX,Terry County,TX,1,0.0
"Throckmorton County, TX",48447,"Throckmorton County, TX",48447,Throckmorton County,TX,Throckmorton County,TX,1,0.0
"Titus County, TX",48449,"Titus County, TX",48449,Titus County,TX,Titus County,TX,1,0.0
"Tom Green County, TX",48451,"Tom Green County, TX",48451,Tom Green County,TX,Tom Green County,TX,1,0.0
"Travis County, TX",48453,"Travis County, TX",48453,Travis County,TX,Travis County,TX,1,0.0
"Trinity County, TX",48455,"Trinity County, TX",48455,Trinity County,TX,Trinity County,TX,1,0.0
"Tyler County, TX",48457,"Tyler County, TX",48457,Tyler County,TX,Tyler County,TX,1,0.0
"Upshur County, TX",48459,"Upshur County, TX",48459,Upshur County,TX,Upshur County,TX,1,0.0
"Upton County, TX",48461,"Upton County, TX",48461,Upton County,TX,Upton County,TX,1,0.0
"Uvalde County, TX",48463,"Uvalde County, TX",48463,Uvalde County,TX,Uvalde County,TX,1,0.0
"Val Verde County, TX",48465,"Val Verde County, TX",48465,Val Verde County,TX,Val Verde County,TX,1,0.0
"Van Zandt County, TX",48467,"Van Zandt County, TX",48467,Van Zandt County,TX,Van Zandt County,TX,1,0.0
"Victoria County, TX",48469,"Victoria County, TX",48469,Victoria County,TX,Victoria County,TX,1,0.0
"Walker County, TX",48471,"Walker County, TX",48471,Walker County,TX,Walker County,TX,1,0.0
"Waller County, TX",48473,"Waller County, TX",48473,Waller County,TX,Waller County,TX,1,0.0
"Ward County, TX",48475,"Ward County, TX",48475,Ward County,TX,Ward County,TX,1,0.0
"Washington County, TX",48477,"Washington County, TX",48477,Washington County,TX,Washington County,TX,1,0.0
"Webb County, TX",48479,"Webb County, TX",48479,Webb County,TX,Webb County,TX,1,0.0
"Wharton County, TX",48481,"Wharton County, TX",48481,Wharton County,TX,Wharton County,TX,1,0.0
"Wheeler County, TX",48483,"Wheeler County, TX",48483,Wheeler County,TX,Wheeler County,TX,1,0.0
"Wichita County, TX",48485,"Wichita County, TX",48485,Wichita County,TX,Wichita County,TX,1,0.0
"Wilbarger County, TX",48487,"Wilbarger County, TX",48487,Wilbarger County,TX,Wilbarger County,TX,1,0.0
"Willacy County, TX",48489,"Willacy County, TX",48489,Willacy County,TX,Willacy County,TX,1,0.0
"Williamson County, TX",48491,"Williamson County, TX",48491,Williamson County,TX,Williamson County,TX,1,0.0
"Wilson County, TX",48493,"Wilson County, TX",48493,Wilson County,TX,Wilson County,TX,1,0.0
"Winkler County, TX",48495,"Winkler County, TX",48495,Winkler County,TX,Winkler County,TX,1,0.0
"Wise County, TX",48497,"Wise County, TX",48497,Wise County,TX,Wise County,TX,1,0.0
"Wood County, TX",48499,"Wood County, TX",48499,Wood County,TX,Wood County,TX,1,0.0
"Yoakum County, TX",48501,"Yoakum County, TX",48501,Yoakum County,TX,Yoakum County,TX,1,0.0
"Young County, TX",48503,"Young County, TX",48503,Young County,TX,Young County,TX,1,0.0
"Zapata County, TX",48505,"Zapata County, TX",48505,Zapata County,TX,Zapata County,TX,1,0.0
"Zavala County, TX",48507,"Zavala County, TX",48507,Zavala County,TX,Zavala County,TX,1,0.0
"Adams County, WA",53001,"Adams County, WA",53001,Adams County,WA,Adams County,WA,1,0.0
"Asotin County, WA",53003,"Asotin County, WA",53003,Asotin County,WA,Asotin County,WA,1,0.0
"Benton County, WA",53005,"Benton County, WA",53005,Benton County,WA,Benton County,WA,1,0.0
"Chelan County, WA",53007,"Chelan County, WA",53007,Chelan County,WA,Chelan County,WA,1,0.0
"Clallam County, WA",53009,"Clallam County, WA",53009,Clallam County,WA,Clallam County,WA,1,0.0
"Clark County, WA",53011,"Clark County, WA",53011,Clark County,WA,Clark County,WA,1,0.0
"Columbia County, WA",53013,"Columbia County, WA",53013,Columbia County,WA,Columbia County,WA,1,0.0
"Cowlitz County, WA",53015,"Cowlitz County, WA",53015,Cowlitz County,WA,Cowlitz County,WA,1,0.0
"Douglas County, WA",53017,"Douglas County, WA",53017,Douglas County,WA,Douglas County,WA,1,0.0
"Ferry County, WA",53019,"Ferry County, WA",53019,Ferry County,WA,Ferry County,WA,1,0.0
"Franklin County, WA",53021,"Franklin County, WA",53021,Franklin County,WA,Franklin County,WA,1,0.0
"Garfield County, WA",53023,"Garfield County, WA",53023,Garfield County,WA,Garfield County,WA,1,0.0
"Grant County, WA",53025,"Grant County, WA",53025,Grant County,WA,Grant County,WA,1,0.0
"Grays Harbor County, WA",53027,"Grays Harbor County, WA",53027,Grays Harbor County,WA,Grays Harbor County,WA,1,0.0
"Island County, WA",53029,"Island County, WA",53029,Island County,WA,Island County,WA,1,0.0
"Jefferson County, WA",53031,"Jefferson County, WA",53031,Jefferson County,WA,Jefferson County,WA,1,0.0
"King County, WA",53033,"King County, WA",53033,King County,WA,King County,WA,1,0.0
"Kitsap County, WA",53035,"Kitsap County, WA",53035,Kitsap County,WA,Kitsap County,WA,1,0.0
"Kittitas County, WA",53037,"Kittitas County, WA",53037,Kittitas County,WA,Kittitas County,WA,1,0.0
"Klickitat County, WA",53039,"Klickitat County, WA",53039,Klickitat County,WA,Klickitat County,WA,1,0.0
"Lewis County, WA",53041,"Lewis County, WA",53041,Lewis County,WA,Lewis County,WA,1,0.0
"Lincoln County, WA",53043,"Lincoln County, WA",53043,Lincoln County,WA,Lincoln County,WA,1,0.0
"Mason County, WA",53045,"Mason County, WA",53045,Mason County,WA,Mason County,WA,1,0.0
"Okanogan County, WA",53047,"Okanogan County, WA",53047,Okanogan County,WA,Okanogan County,WA,1,0.0
"Pacific County, WA",53049,"Pacific County, WA",53049,Pacific County,WA,Pacific County,WA,1,0.0
"Pend Oreille County, WA",53051,"Pend Oreille County, WA",53051,Pend Oreille County,WA,Pend Oreille County,WA,1,0.0
"Pierce County, WA",53053,"Pierce County, WA",53053,Pierce County,WA,Pierce County,WA,1,0.0
"San Juan County, WA",53055,"San Juan County, WA",53055,San Juan County,WA,San Juan County,WA,1,0.0
"Skagit County, WA",53057,"Skagit County, WA",53057,Skagit County,WA,Skagit County,WA,1,0.0
"Skamania County, WA",53059,"Skamania County, WA",53059,Skamania County,WA,Skamania County,WA,1,0.0
"Snohomish County, WA",53061,"Snohomish County, WA",53061,Snohomish County,WA,Snohomish County,WA,1,0.0
"Spokane County, WA",53063,"Spokane County, WA",53063,Spokane County,WA,Spokane County,WA,1,0.0
"Stevens County, WA",53065,"Stevens County, WA",53065,Stevens County,WA,Stevens County,WA,1,0.0
"Thurston County, WA",53067,"Thurston County, WA",53067,Thurston County,WA,Thurston County,WA,1,0.0
"Wahkiakum County, WA",53069,"Wahkiakum County, WA",53069,Wahkiakum County,WA,Wahkiakum County,WA,1,0.0
"Walla Walla County, WA",53071,"Walla Walla County, WA",53071,Walla Walla County,WA,Walla Walla County,WA,1,0.0
"Whatcom County, WA",53073,"Whatcom County, WA",53073,Whatcom County,WA,Whatcom County,WA,1,0.0
"Whitman County, WA",53075,"Whitman County, WA",53075,Whitman County,WA,Whitman County,WA,1,0.0
"Yakima County, WA",53077,"Yakima County, WA",53077,Yakima County,WA,Yakima County,WA,1,0.0
