countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Washington County, CO",8121,"Washington County, CO",8121,Washington County,CO,Washington County,CO,1,0.0
"Weld County, CO",8123,"Weld County, CO",8123,Weld County,CO,Weld County,CO,1,0.0
"Yuma County, CO",8125,"Yuma County, CO",8125,Yuma County,CO,Yuma County,CO,1,0.0
"Albany County, NY",36001,"Albany County, NY",36001,Albany County,NY,Albany County,NY,1,0.0
"Allegany County, NY",36003,"Allegany County, NY",36003,Allegany County,NY,Allegany County,NY,1,0.0
"Bronx County, NY",36005,"Bronx County, NY",36005,Bronx County,NY,Bronx County,NY,1,0.0
"Broome County, NY",36007,"Broome County, NY",36007,Broome County,NY,Broome County,NY,1,0.0
"Cattaraugus County, NY",36009,"Cattaraugus County, NY",36009,Cattaraugus County,NY,Cattaraugus County,NY,1,0.0
"Cayuga County, NY",36011,"Cayuga County, NY",36011,Cayuga County,NY,Cayuga County,NY,1,0.0
"Chautauqua County, NY",36013,"Chautauqua County, NY",36013,Chautauqua County,NY,Chautauqua County,NY,1,0.0
"Chemung County, NY",36015,"Chemung County, NY",36015,Chemung County,NY,Chemung County,NY,1,0.0
"Chenango County, NY",36017,"Chenango County, NY",36017,Chenango County,NY,Chenango County,NY,1,0.0
"Clinton County, NY",36019,"Clinton County, NY",36019,Clinton County,NY,Clinton County,NY,1,0.0
"Columbia County, NY",36021,"Columbia County, NY",36021,Columbia County,NY,Columbia County,NY,1,0.0
"Cortland County, NY",36023,"Cortland County, NY",36023,Cortland County,NY,Cortland County,NY,1,0.0
"Delaware County, NY",36025,"Delaware County, NY",36025,Delaware County,NY,Delaware County,NY,1,0.0
"Dutchess County, NY",36027,"Dutchess County, NY",36027,Dutchess County,NY,Dutchess County,NY,1,0.0
"Erie County, NY",36029,"Erie County, NY",36029,Erie County,NY,Erie County,NY,1,0.0
"Essex County, NY",36031,"Essex County, NY",36031,Essex County,NY,Essex County,NY,1,0.0
"Franklin County, NY",36033,"Franklin County, NY",36033,Franklin County,NY,Franklin County,NY,1,0.0
"Fulton County, NY",36035,"Fulton County, NY",36035,Fulton County,NY,Fulton County,NY,1,0.0
"Genesee County, NY",36037,"Genesee County, NY",36037,Genesee County,NY,Genesee County,NY,1,0.0
"Greene County, NY",36039,"Greene County, NY",36039,Greene County,NY,Greene County,NY,1,0.0
"Hamilton County, NY",36041,"Hamilton County, NY",36041,Hamilton County,NY,Hamilton County,NY,1,0.0
"Herkimer County, NY",36043,"Herkimer County, NY",36043,Herkimer County,NY,Herkimer County,NY,1,0.0
