Average EV Price,New Car Average,population,household_income,POPDEN_COU,Electricity Price,Gas Price,NY,TX,WA
56059.0,41172.0,28792.0,10334.0,29.8243529345434,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,138447.0,45848.0,164.01410925081,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,118323.0,43957.0,130.47885948892,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,136005.0,50092.0,154.215154573648,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,101175.0,34457.0,847.600269617975,0.14,2.15,0.0,1.0,0.0
56059.0,41172.0,66969.0,23422.0,99.1517406966855,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,230184.0,77809.0,253.377242929783,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,64032.0,16281.0,53.8926559683501,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,2077153.0,722446.0,2439.25560873107,0.14,2.15,0.0,1.0,0.0
56059.0,41172.0,137521.0,50396.0,156.420660289781,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,32709.0,11064.0,76.951404173159,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,118645.0,42953.0,78.845968646758,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,1250884.0,491531.0,1297.91443682726,0.14,2.15,0.0,1.0,0.0
56059.0,41172.0,14689.0,6105.0,19.605325220794,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,26899.0,8921.0,15.828218459667,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,55970.0,20494.0,70.6662025607361,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,92044.0,32520.0,103.524380604109,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,72295.0,22515.0,97.421905984207,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,53626.0,15586.0,110.646242409066,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,274847.0,76382.0,79.4637112269213,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,132154.0,48538.0,206.105866535214,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,570437.0,188113.0,545.799024842014,0.14,2.15,0.0,1.0,0.0
56059.0,41172.0,50110.0,15975.0,61.9026329075938,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,67884.0,22254.0,75.8877228179711,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,45054.0,16716.0,69.4982176408307,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,14243.0,4689.0,13.911164103877,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,57917.0,16555.0,54.5091371315679,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,32609.0,8499.0,35.2712851097151,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,9231.0,4292.0,1.54372898865881,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,37805.0,14614.0,40.3357720567874,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,13959.0,5372.0,15.241828695327,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,13597.0,5416.0,14.4964367880319,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3393.0,1394.0,1.10354829970445,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,7272.0,2344.0,4.73347504498517,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,20217.0,6823.0,21.8092699665606,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,11194.0,3407.0,5.48156110861131,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,18289.0,7017.0,19.1310797664619,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,10767.0,3960.0,36.4253759961528,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,19744.0,6736.0,22.1424526434511,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3958.0,1672.0,5.10566478166417,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3901.0,1356.0,3.73173460594043,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3679.0,1394.0,3.94184746388238,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,21152.0,7823.0,30.3526447728063,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,17174.0,6159.0,27.7853749343042,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,23364.0,8292.0,24.4592309664369,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,36791.0,13900.0,33.1728384067248,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,2108.0,1035.0,2.17511448965703,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,24797.0,9468.0,24.3557802225335,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,12357.0,5170.0,47.5142073569012,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,14901.0,5516.0,16.1602287919611,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,83776.0,31570.0,254.080595017696,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,6808.0,2580.0,1.59030691230389,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3429.0,1254.0,3.94476272290039,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,53988.0,18056.0,56.4968347096431,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,16918.0,6115.0,18.7003121372638,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,12408.0,4101.0,13.3106915702953,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,41672.0,15248.0,38.2732913764179,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,50194.0,15798.0,40.1636968197514,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,12938.0,4460.0,63.6417511093223,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,10444.0,4159.0,9.3850528666989,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,8281.0,3492.0,6.08437364466964,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,21357.0,7442.0,21.4071685409888,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,25247.0,9033.0,25.7229925175673,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,33463.0,10888.0,32.3706849095347,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,5431.0,1859.0,5.74578472884425,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,36708.0,13514.0,47.9355499453291,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,36213.0,11354.0,38.6995179906805,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,35562.0,13725.0,35.1355753205845,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,2245.0,991.0,0.88141404190486,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,40796.0,12924.0,44.9518022759607,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,15547.0,4552.0,19.6723987222658,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3301.0,1158.0,3.28145444730095,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,7970.0,3151.0,7.16031960385049,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,13788.0,5124.0,13.0848968153776,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,23186.0,8662.0,27.7204355683622,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,50155.0,17945.0,47.4183159710257,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,12001.0,4321.0,53.0132344807041,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,10280.0,3891.0,9.4190239057639,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,28574.0,10143.0,48.1378943291995,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,8958.0,3145.0,49.38938914302,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,3793.0,1282.0,2.31923606134806,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,41386.0,14392.0,70.1434704126283,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,49018.0,16388.0,15.1319731995955,10.77,2.551,0.0,1.0,0.0
56059.0,41172.0,35275.0,13321.0,59.2610906399722,10.77,2.551,0.0,1.0,0.0
