,Unnamed: 0,population,household_income,state,county
152,152,24819.0,9278.0,,Washington County
153,153,2001.0,808.0,,Worth County
154,154,304709.0,143566.0,,St. Louis city
155,155,180076.0,73536.0,,Bay County
156,156,1942273.0,704942.0,,Broward County
157,157,147938.0,64621.0,,Citrus County
158,158,70898.0,25205.0,,Columbia County
159,159,948651.0,369704.0,,Duval County
160,160,11914.0,4691.0,,Franklin County
161,161,13777.0,4859.0,,Glades County
162,162,27027.0,7991.0,,Hardee County
163,163,104574.0,42721.0,,Highlands County
164,164,156964.0,60959.0,,Indian River County
165,165,8576.0,2315.0,,Lafayette County
166,166,291863.0,116530.0,,Leon County
167,167,8333.0,2513.0,,Liberty County
168,168,360210.0,145863.0,,Marion County
169,169,75137.0,32794.0,,Monroe County
170,170,41611.0,14601.0,,Okeechobee County
171,171,439.0,192.0,,Arthur County
172,172,5228.0,2261.0,,Boone County
173,173,2887.0,1333.0,,Brown County
174,174,7997.0,3387.0,,Butler County
175,175,13681.0,5748.0,,Wadena County
176,176,3707.0,1591.0,,Chase County
177,177,6193.0,2575.0,,Clay County
178,178,8882.0,3854.0,,Cuming County
179,179,8685.0,3555.0,,Dawes County
180,180,5682.0,2376.0,,Dixon County
181,181,1928.0,842.0,,Dundy County
182,182,2636.0,1136.0,,Frontier County
183,183,1916.0,929.0,,Garden County
184,184,691.0,297.0,,Grant County
185,185,9219.0,3622.0,,Hamilton County
186,186,26035.0,10836.0,,Cherokee County
187,187,44147.0,17140.0,,Chilton County
188,188,12755.0,5330.0,,Choctaw County
189,189,23866.0,9323.0,,Clarke County
190,190,13285.0,5153.0,,Clay County
191,191,14952.0,5835.0,,Cleburne County
192,192,52238.0,19951.0,,Coffee County
193,193,54957.0,21797.0,,Colbert County
194,194,12219.0,4585.0,,Conecuh County
195,195,10696.0,4016.0,,Coosa County
196,196,13826.0,5011.0,,Crenshaw County
197,197,83345.0,31733.0,,Cullman County
198,198,38184.0,15409.0,,Dallas County
199,199,71430.0,26365.0,,DeKalb County
200,200,36775.0,12931.0,,Escambia County
201,201,102721.0,38765.0,,Etowah County
202,202,31587.0,11017.0,,Franklin County
203,203,8221.0,3178.0,,Greene County
204,204,14754.0,5490.0,,Hale County
205,205,105319.0,39784.0,,Houston County
206,206,51765.0,20367.0,,Jackson County
207,207,13854.0,5631.0,,Lamar County
208,208,92870.0,38513.0,,Lauderdale County
209,209,163461.0,60731.0,,Lee County
210,210,9936.0,4213.0,,Lowndes County
211,211,18437.0,7592.0,,Macon County
212,212,19138.0,7499.0,,Marengo County
213,213,29818.0,11780.0,,Marion County
214,214,413977.0,157557.0,,Mobile County
215,215,21006.0,8050.0,,Monroe County
216,216,119352.0,46388.0,,Morgan County
217,217,20049.0,7731.0,,Pickens County
218,218,33274.0,11700.0,,Pike County
219,219,57938.0,23694.0,,Russell County
220,220,88929.0,32765.0,,St. Clair County
221,221,12595.0,5355.0,,Sumter County
222,222,40450.0,16359.0,,Tallapoosa County
223,223,208854.0,74713.0,,Tuscaloosa County
224,224,16336.0,5830.0,,Washington County
225,225,10552.0,3961.0,,Wilcox County
226,226,1661584.0,573174.0,,Alameda County
227,227,1159.0,397.0,,Alpine County
228,228,223344.0,83879.0,,Butte County
229,229,21491.0,7329.0,,Colusa County
230,230,1147788.0,398299.0,,Contra Costa County
231,231,190345.0,73078.0,,El Dorado County
232,232,990204.0,310097.0,,Fresno County
233,233,33427.0,13582.0,,Chambers County
234,234,136101.0,54120.0,,Humboldt County
235,235,180580.0,45768.0,,Imperial County
236,236,892458.0,273556.0,,Kern County
237,237,151090.0,43604.0,,Kings County
238,238,30600.0,9172.0,,Lassen County
239,239,155925.0,44479.0,,Madera County
240,240,259441.0,104900.0,,Marin County
241,241,17319.0,7846.0,,Mariposa County
242,242,87110.0,34164.0,,Mendocino County
243,243,273661.0,81306.0,,Merced County
244,244,8853.0,3594.0,,Modoc County
245,245,64029.0,24695.0,,Clay County
246,246,8872.0,3452.0,,Clearwater County
247,247,5402.0,2608.0,,Cook County
248,248,11279.0,4915.0,,Cottonwood County
249,249,64775.0,27605.0,,Crow Wing County
250,250,425271.0,163463.0,,Dakota County
251,251,20807.0,7776.0,,Dodge County
252,252,37820.0,16810.0,,Douglas County
253,253,13727.0,6074.0,,Faribault County
254,254,21031.0,8652.0,,Fillmore County
255,255,46330.0,19623.0,,Goodhue County
256,256,5962.0,2578.0,,Grant County
257,257,18670.0,8286.0,,Houston County
258,258,21287.0,8792.0,,Hubbard County
259,259,45180.0,19529.0,,Itasca County
260,260,16205.0,6631.0,,Kanabec County
261,261,42909.0,16853.0,,Kandiyohi County
262,262,12355.0,5796.0,,Koochiching County
263,263,6645.0,3048.0,,Lac qui Parle County
264,264,3747.0,1522.0,,Lake of the Woods County
265,265,28425.0,11191.0,,Le Sueur County
266,266,25696.0,10067.0,,Lyon County
267,267,35788.0,14736.0,,McLeod County
268,268,9353.0,3952.0,,Marshall County
269,269,19737.0,8824.0,,Martin County
270,270,25963.0,10535.0,,Mille Lacs County
271,271,33119.0,13536.0,,Morrison County
272,272,8247.0,3659.0,,Murray County
273,273,34176.0,12821.0,,Nicollet County
274,274,6466.0,2771.0,,Norman County
275,275,156446.0,63561.0,,Olmsted County
276,276,14110.0,5976.0,,Pennington County
277,277,29254.0,11132.0,,Pine County
278,278,31384.0,12619.0,,Polk County
279,279,11107.0,5010.0,,Pope County
280,280,4005.0,1713.0,,Red Lake County
281,281,15193.0,6262.0,,Redwood County
282,282,66549.0,23183.0,,Rice County
283,283,9386.0,3990.0,,Rock County
284,284,199499.0,86229.0,,St. Louis County
285,285,147201.0,50487.0,,Scott County
286,286,14871.0,6015.0,,Sibley County
287,287,159788.0,59576.0,,Stearns County
288,288,9770.0,3683.0,,Stevens County
289,289,9329.0,4243.0,,Swift County
290,290,3282.0,1590.0,,Traverse County
291,291,21564.0,9081.0,,Wabasha County
292,292,18658.0,7547.0,,Waseca County
293,293,259072.0,95796.0,,Washington County
294,294,6264.0,2799.0,,Wilkin County
295,295,50744.0,19466.0,,Winona County
296,296,136387.0,49097.0,,Wright County
297,297,9775.0,4088.0,,Yellow Medicine County
298,298,25468.0,9078.0,,Adair County
299,299,17554.0,6799.0,,Andrew County
300,300,5180.0,2549.0,,Atchison County
301,301,25336.0,9349.0,,Audrain County
302,302,35615.0,13872.0,,Barry County
303,303,11732.0,4830.0,,Barton County
304,304,15030.0,6529.0,,Alleghany County
305,305,12970.0,5034.0,,Amelia County
306,306,15814.0,6158.0,,Appomattox County
307,307,236434.0,108604.0,,Arlington County
308,308,4248.0,1831.0,,Bath County
309,309,78965.0,31424.0,,Bedford County
310,310,33440.0,13171.0,,Botetourt County
311,311,16336.0,6138.0,,Brunswick County
312,312,17087.0,5948.0,,Buckingham County
313,313,55406.0,23157.0,,Campbell County
314,314,29911.0,12134.0,,Carroll County
315,315,6965.0,2998.0,,Charles City County
316,316,11953.0,4836.0,,Charlotte County
317,317,14498.0,5690.0,,Clarke County
318,318,5103.0,2219.0,,Craig County
319,319,9869.0,4112.0,,Cumberland County
320,320,14524.0,5727.0,,Dickenson County
321,321,10960.0,4551.0,,Essex County
322,322,1149439.0,398653.0,,Fairfax County
323,323,15766.0,6657.0,,Floyd County
324,324,26873.0,9967.0,,Fluvanna County
325,325,88054.0,32094.0,,Frederick County
326,326,16760.0,6715.0,,Giles County
327,327,23472.0,8711.0,,Goochland County
328,328,15651.0,6388.0,,Grayson County
329,329,11403.0,3441.0,,Greensville County
330,330,34295.0,14155.0,,Halifax County
331,331,330076.0,130434.0,,Henrico County
332,332,51032.0,21012.0,,Henry County
333,333,37107.0,14611.0,,Isle of Wight County
334,334,76032.0,29681.0,,James City County
335,335,7011.0,2816.0,,King and Queen County
336,336,26679.0,9387.0,,King George County
337,337,16985.0,6393.0,,King William County
338,338,10686.0,5287.0,,Lancaster County
339,339,23723.0,8843.0,,Lee County
340,340,405312.0,132565.0,,Loudoun County
341,341,36654.0,14383.0,,Louisa County
342,342,12294.0,4472.0,,Lunenburg County
343,343,13208.0,5098.0,,Madison County
344,344,8760.0,3881.0,,Mathews County
345,345,30726.0,12371.0,,Mecklenburg County
346,346,10642.0,4764.0,,Middlesex County
347,347,98495.0,35388.0,,Montgomery County
348,348,14812.0,6398.0,,Nelson County
349,349,22310.0,8117.0,,New Kent County
350,350,11826.0,5151.0,,Northampton County
351,351,12151.0,5686.0,,Northumberland County
352,352,15338.0,5568.0,,Nottoway County
353,353,36501.0,13926.0,,Orange County
354,354,23862.0,9413.0,,Page County
355,355,17660.0,7830.0,,Patrick County
356,356,29253.0,10392.0,,Powhatan County
357,357,22892.0,7394.0,,Prince Edward County
358,358,38292.0,11763.0,,Prince George County
359,359,34113.0,14666.0,,Pulaski County
360,360,7360.0,2827.0,,Rappahannock County
361,361,94103.0,38234.0,,Roanoke County
362,362,2788.0,1228.0,,Hitchcock County
363,363,6428.0,2732.0,,Howard County
364,364,6588.0,2691.0,,Kearney County
365,365,3576.0,1612.0,,Kimball County
366,366,35042.0,14765.0,,Lincoln County
367,367,420.0,199.0,,McPherson County
368,368,4711.0,1969.0,,Morrill County
369,369,6978.0,2912.0,,Nemaha County
370,370,4100.0,1844.0,,Valley County
371,371,9388.0,3793.0,,Wayne County
372,372,13671.0,5685.0,,York County
373,373,48486.0,21071.0,,Douglas County
374,374,1839.0,661.0,,Eureka County
375,375,5177.0,2003.0,,Lincoln County
376,376,45514.0,19253.0,,Nye County
377,377,464182.0,186116.0,,Washoe County
378,378,61174.0,25576.0,,Belknap County
379,379,31486.0,13967.0,,Coos County
380,380,150902.0,59209.0,,Merrimack County
381,381,43173.0,17281.0,,Sullivan County
382,382,125061.0,44029.0,,Ascension Parish
383,383,37387.0,13812.0,,Beauregard Parish
384,384,243243.0,96043.0,,Caddo Parish
385,385,6963.0,2902.0,,Cameron Parish
386,386,19533.0,6694.0,,Concordia Parish
387,387,6947.0,1688.0,,East Carroll Parish
388,388,20109.0,7503.0,,Franklin Parish
389,389,32626.0,11105.0,,Iberville Parish
390,390,31425.0,11565.0,,Jefferson Davis Parish
391,391,50020.0,19633.0,,St. Mary Parish
392,392,4435.0,1814.0,,Tensas Parish
393,393,22270.0,8399.0,,Union Parish
394,394,46325.0,17794.0,,Washington Parish
395,395,10934.0,4126.0,,West Carroll Parish
396,396,46304.0,18028.0,NY,Allegany County
397,397,76750.0,31999.0,NY,Cattaraugus County
398,398,84115.0,34328.0,NY,Chemung County
399,399,60016.0,25323.0,NY,Columbia County
400,400,293524.0,110095.0,NY,Dutchess County
401,401,37281.0,16182.0,NY,Essex County
402,402,57554.0,24174.0,NY,Genesee County
403,403,61738.0,25093.0,NY,Herkimer County
404,404,26456.0,10398.0,NY,Lewis County
405,405,743084.0,305210.0,NY,Monroe County
406,406,1629153.0,758720.0,NY,New York County
407,407,461591.0,187349.0,NY,Onondaga County
408,408,40624.0,16634.0,NY,Orleans County
409,409,98714.0,34915.0,NY,Putnam County
410,410,475596.0,167160.0,NY,Richmond County
411,411,24430.0,9803.0,,Anson County
412,412,47160.0,20219.0,,Beaufort County
413,413,137303.0,59416.0,,Brunswick County
414,414,211605.0,72843.0,,Cabarrus County
415,415,69301.0,30060.0,,Carteret County
416,416,72853.0,29904.0,,Chatham County
417,417,97765.0,36089.0,,Cleveland County
418,418,334562.0,127532.0,,Cumberland County
419,419,166837.0,67555.0,,Davidson County
420,420,432977.0,128003.0,,Monterey County
421,421,138572.0,48484.0,,Napa County
422,422,99417.0,40917.0,,Nevada County
423,423,3170345.0,1040001.0,,Orange County
424,424,391799.0,145714.0,,Placer County
425,425,18844.0,8332.0,,Plumas County
426,426,2437864.0,736413.0,,Riverside County
427,427,1537948.0,547519.0,,Sacramento County
428,428,61547.0,18389.0,,San Benito County
429,429,2162532.0,640090.0,,San Bernardino County
430,430,3323970.0,1130703.0,,San Diego County
431,431,874784.0,362141.0,,San Francisco County
432,432,751615.0,231092.0,,San Joaquin County
433,433,282517.0,106244.0,,San Luis Obispo County
434,434,765623.0,263351.0,,San Mateo County
435,435,1924379.0,635314.0,,Santa Clara County
436,436,273170.0,96275.0,,Santa Cruz County
437,437,2898.0,1250.0,,Sierra County
438,438,444538.0,151191.0,,Solano County
439,439,496801.0,188958.0,,Sonoma County
440,440,96315.0,32586.0,,Sutter County
441,441,64176.0,24661.0,,Tehama County
442,442,463955.0,139044.0,,Tulare County
443,443,54147.0,22937.0,,Tuolumne County
444,444,218774.0,74614.0,,Yolo County
445,445,77524.0,26434.0,,Yuba County
446,446,20000.0,7716.0,,Ashley County
447,447,41673.0,18727.0,,Baxter County
448,448,37525.0,15043.0,,Boone County
449,449,5160.0,1754.0,,Calhoun County
450,450,28062.0,11079.0,,Carroll County
451,451,22341.0,8336.0,,Clark County
452,452,14710.0,6476.0,,Clay County
453,453,8063.0,3170.0,,Cleveland County
454,454,23620.0,8456.0,,Columbia County
455,455,109081.0,42203.0,,Craighead County
456,456,48381.0,19021.0,,Crittenden County
457,457,16576.0,6568.0,,Cross County
458,458,11538.0,5059.0,,Desha County
459,459,18263.0,7207.0,,Drew County
460,460,17785.0,6671.0,,Franklin County
461,461,12301.0,5014.0,,Fulton County
462,462,18229.0,7049.0,,Grant County
463,463,21695.0,8100.0,,Hempstead County
464,464,33667.0,12515.0,,Hot Spring County
465,465,37585.0,14325.0,,Independence County
466,466,13596.0,4911.0,,Izard County
467,467,14395.0,5196.0,,Mono County
468,468,68123.0,26630.0,,Jefferson County
469,469,26475.0,9792.0,,Johnson County
470,470,16511.0,6584.0,,Lawrence County
471,471,13278.0,3598.0,,Lincoln County
472,472,12345.0,5292.0,,Little River County
473,473,73163.0,27218.0,,Lonoke County
474,474,16393.0,6045.0,,Madison County
475,475,43515.0,16237.0,,Miller County
476,476,6879.0,3234.0,,Monroe County
477,477,8964.0,3706.0,,Montgomery County
478,478,16282.0,6565.0,,Bates County
479,479,19305.0,8060.0,,Benton County
480,480,12181.0,4426.0,,Bollinger County
481,481,179704.0,71919.0,,Boone County
482,482,87904.0,33642.0,,Buchanan County
483,483,42570.0,16358.0,,Butler County
484,484,9052.0,3703.0,,Caldwell County
